trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-79.89933304477134,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9894503053858967}",25,0,-53.80775193917888,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9888366627497063}",20,0,-134.70493414333518,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9881472239550843}",25,0,-86.29750276192246,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9873670212765957}",20,0,-98.2212295211962,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9864768683274021}",25,0,-212.521607397101,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9854517611026034}",20,0,-67.07159648460375,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9842584921292461}",25,0,-112.47948393135447,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9828519855595668}",25,16,-50.7740487009759,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.981169474727453}",25,7,-129.458302565075,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.9791208791208791}",20,0,-160.8377354999082,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9765721331689272}",25,7,-27.35608066469443,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.973314606741573}",20,0,-138.89143069063755,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9690048939641109}",20,8,-95.84406960022791,"{0: 5, 1: 1, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9630350194552529}",20,0,-21.57237452394987,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9542168674698795}",25,0,-63.277010387434025,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.939873417721519}",20,0,-44.55875721404515,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9124423963133641}",25,0,-125.9152901997697,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8389830508474576}",25,0,-62.03137920606141,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0}",25,0,33.95351277584104,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,31.19851644360939,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,36.80140074823287,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,30.075732839258166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,42.21309316547355,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,9.827644683049838,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,30.87078317168712,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,25.571366121771717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,10,14.565203989712018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-8.704213955839528,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,27.813755377224574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
