trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999984}",25,0,-165.7229491311423,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999838712278835}",25,0,-65.3769047208515,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999837408949012}",20,0,-180.73672942424588,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999836089757249}",30,0,-81.34621217700241,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999834754445105}",25,0,-154.81276468861154,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999833402748854}",20,0,-53.66436995052227,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999832034399355}",30,0,-223.9853930806255,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9999830649121916}",20,0,-130.67524887621371,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999829246636158}",30,0,-284.3893066847948,"{0: 14, 1: 2, 2: 7, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9999827826655877}",30,0,-172.39672210180314,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9999826388888889}",20,0,-100.95570050107311,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999824933036887}",20,0,-102.22462354626627,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999823458795283}",20,10,-20.24458817102807,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9999821965853051}",35,0,-234.08148605855152,"{0: 15, 1: 5, 2: 11, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.999982045389256}",20,0,-113.95379791094821,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9999818922589407}",25,16,2.556919711354996,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9999817371612243}",25,0,-80.9965799459031,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9999815800622593}",25,0,-52.932060778990056,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9999814209274673}",20,0,-120.67964051047274,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9999812597215194}",20,8,-42.3110172444662,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9999810964083176}",20,0,-74.79907409136585,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9999809309509735}",25,0,-13.473954180276516,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9999807633117882}",25,0,-113.70214110302194,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9999805934522308}",25,0,-158.96708362968263,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9999804213329156}",25,1,-101.39012151434727,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9999802469135802}",25,0,-156.37153810796818,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9999800701530612}",20,0,-129.93319965405362,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9999798910092702}",20,0,-87.24255700583257,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9999797094391689}",20,0,-82.80455249238582,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9999795253987429}",25,0,-68.61665148097022,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9999793388429752}",20,0,-29.12192446576974,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9999791497258189}",25,0,-94.0266101012472,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9999789580001683}",25,7,-55.862294061646146,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9999787636178301}",20,0,-125.52474400607647,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9999785665294925}",30,0,-111.87397634798563,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9999783666846944}",20,3,-77.9747683453905,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.9999781640317932}",25,0,-106.28395517398314,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
