trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.8217967808385,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,7,22.412023726448712,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-151.7003280368177,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,7,-29.675524913572755,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.04}",30,0,-57.52132225918943,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",30,3,13.313758156240398,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,15.983864349677866,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",30,0,-10.307105754628948,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,15,3.7336207674810824,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,7,-34.86977508533599,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,0,-17.49195725900221,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",30,0,16.509444664243453,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-16.66167341644138,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",30,14,22.206205702406553,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,10,3.3970706537814754,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-36.24319117012528,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",30,0,12.429051861959772,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,12.64891186514316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",30,0,21.847973953005752,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0025}",20,9,16.125120851065585,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,0,-92.85820931106255,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,20.091967303624717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",35,0,38.982751330243374,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",25,12,18.81403961544417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0016}",20,8,15.646562411154013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",30,0,29.98840380781342,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",30,0,18.866256836574067,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",30,3,43.07913564554664,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",30,11,18.3008581518468,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",25,9,7.550403167858908,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,0,21.990170099382592,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009765625}",25,12,19.465504472240678,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",25,0,23.89462650022001,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",25,9,18.928205569755377,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",20,6,25.851315998045337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,0,-21.53263347250222,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",20,0,25.424899957521855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0006925207756232687}",20,0,19.883450674253563,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.0006574621959237344}",30,11,16.857215522951275,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.000625}",25,0,32.52369655811823,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.000594883997620464}",35,2,46.498217233815154,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.0005668934240362812}",25,10,18.61968066530724,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.0005408328826392645}",25,0,25.192788628875082,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.0005165289256198347}",30,0,-1.3078199887677737,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.0004938271604938272}",30,4,31.228882451068436,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.0004725897920604915}",30,5,31.805744268770834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.0004526935264825713}",25,0,40.1739720175126,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.00043402777777777775}",20,14,9.150001331245834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.00041649312786339027}",30,12,29.530458710822096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0004}",25,11,26.142741472925344,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.00038446751249519417}",20,0,26.716468987118112,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0003698224852071006}",20,16,7.88933915314972,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.000355998576005696}",25,15,14.6769574321847,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.0003429355281207133}",20,0,27.63957546045658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.00033057851239669424}",30,0,35.40709243637133,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
