trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.023821034575846,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9473684210526315}",20,0,-98.85514111599483,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8947368421052632}",35,23,-1.7689812947909147,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.8421052631578947}",30,19,-38.51112421455783,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7894736842105263}",20,0,-50.28046769568783,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7368421052631579}",20,0,-150.56777884799038,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6842105263157895}",25,0,-39.05431665935619,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.631578947368421}",25,0,-87.16257462315873,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5789473684210527}",20,0,-14.94267704599299,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5263157894736842}",20,0,-71.30846194109478,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.47368421052631576}",30,23,3.770134694082475,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.42105263157894735}",20,0,-60.68753255957842,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.3684210526315789}",20,11,3.2047304837825683,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.3157894736842105}",20,0,-5.898648282956565,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.2631578947368421}",30,0,-16.908398936863218,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.21052631578947367}",25,5,-34.926108931196374,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.15789473684210525}",25,3,18.11750951245643,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.10526315789473684}",20,0,15.74015241989707,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",25,12,18.629447784004626,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",25,0,-35.82333748837713,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,24.875159161883648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,36.62039749305964,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,11,13.684122347594403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,30.59815577504558,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,1,16.85706390718688,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,17.27888416925612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,13,32.69643748301212,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,-23.318529628785576,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,6,23.28340178913555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,36.36519045614288,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
