trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.75882568146106,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999801019909555}",30,0,-48.13962190338353,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999204087556838}",20,3,-37.2582082410387,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9998209226697378}",20,8,-66.58981450969901,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9996816476922675}",25,0,-131.82926546207963,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9995025893658627}",20,0,-67.23598663030492,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9992837548163315}",20,10,-98.19644394533589,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9990251527524177}",20,0,-116.98264102417112,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9987267934654538}",20,0,-88.88237922770026,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9983886888289513}",25,0,-153.72329493851257,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9980108522981284}",20,0,-126.4276285303564,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9975932989093745}",20,0,-78.10785815620429,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.997136045279652}",20,0,-121.31207531775448,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9966391096058345}",25,0,-6.781703447871665,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.996102511663983}",25,0,-129.97575985461742,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.995526272808559}",20,0,-115.59659712429853,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9949104159715743}",20,0,-103.01296032443148,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9942549656616788}",20,0,-159.77492518604288,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9935599479631849}",20,0,-84.50682630158312,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9928253905350295}",20,0,-46.68368875752336,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9920513226096732}",20,0,-95.203067086673,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9912377749919373}",20,4,-9.252695083537262,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9903847800577775}",30,0,-130.43458979845744,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9894923717529955}",20,0,-93.43590622286881,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9885605855918885}",30,0,-128.068152948342,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9875894586558354}",20,0,-81.50921734765818,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9865790295918211}",25,0,-89.80363232971476,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9855293386108992}",25,0,-68.86866410498399,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9844404274865908}",25,0,-94.26081403963093,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9833123395532226}",30,0,-128.8671078565332,"{0: 14, 1: 10, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9821451197042027}",20,0,-99.25936135559712,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9809388143902331}",20,0,-142.75022129700656,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9796934716174619}",30,0,-169.79700030656036,"{0: 13, 1: 4, 2: 12, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9784091409455727}",20,13,-8.4822761395342,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9770858734858122}",30,0,-87.72423371444434,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.975723721898956}",25,0,-94.86458824229963,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9743227403932134}",30,0,-288.4857445951696,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 5}",0
38,False,"{'a': 0.5, 'e': 0.9728829847220697}",25,0,-71.64687836227276,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9714045121820677}",25,15,-27.30449185962824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.9698873816105272}",20,0,-84.01083361868247,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.968331653383204}",30,0,-194.18749737749104,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9667373894118868}",25,0,-121.45313983021809,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.9651046531419333}",30,13,-98.19665514400175,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9634335095497458}",25,0,-148.01064462860262,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9617240251401847}",20,0,-119.00067023800973,"{0: 7, 1: 4, 2: 8, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9599762679439228}",20,13,-49.00100383600634,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.9581903075147368}",20,0,-53.24424513516757,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9563662149267405}",25,0,-39.823026186543046,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9545040627715552}",20,0,-110.59907954560059,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.952603925155422}",25,1,-76.78581011617263,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.9506658776962519}",20,0,-81.93783239457328,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9486899975206164}",30,0,-103.88852006412739,"{0: 15, 1: 7, 2: 8, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9466763632606789}",20,0,-101.38755044663485,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9446250550510649}",20,0,-101.16714993746996,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9425361545256727}",20,0,-98.89326519671275,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
