trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-205.02834094321094,"{0: 21, 1: 6, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9965844930066698}",25,0,-104.8182204160408,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9863613034027223}",30,0,-125.06165146084199,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9694002659393304}",20,12,-34.53634300757839,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9458172417006346}",20,0,-53.17706115772605,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9157733266550574}",25,0,-127.62326957828103,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8794737512064891}",20,0,-86.84982123747241,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8371664782625285}",25,0,-136.01939970792108,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.7891405093963936}",20,3,-98.37627656045032,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.7357239106731316}",20,0,-87.3799849343037,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.6772815716257411}",30,0,-80.40222867694011,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.6142127126896678}",20,0,-52.33178109106237,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5469481581224269}",20,12,-5.750591748021734,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.4759473930370736}",25,0,-58.53789741100378,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.40169542465296953}",20,0,-4.924025026361091,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.32469946920468357}",25,3,-35.750706259846744,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.24548548714079924}",20,1,8.615233812124288,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.16459459028073398}",30,0,36.00865425242017,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.0825793454723324}",20,8,21.707733541386386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 6.123233995736766e-17}",20,0,18.322009433549976,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,31.565087442362024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,8.904313716665127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,20.00444734024461,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,35.38261760646575,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,13,14.744524776635426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,30.348529845171868,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,5,31.629329000885708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,16,11.786203275028384,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,2,31.79511064140437,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,26.328045063058806,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
