trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.966372802699126}",20,0,-104.30590605965004,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9338763937965637}",20,0,-35.37335733908429,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9024727480477379}",20,0,-109.47633017298752,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8721251188904746}",20,0,-81.3289303994062,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8427979954464964}",20,0,-90.5793529449546,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8144570609688359}",20,0,-126.61959779003007,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7870691526865468}",20,6,-98.07204522752687,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.7606022229997245}",30,0,-183.8774984329021,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.7350253019794293}",20,0,-157.44142423825724,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.7103084611286324}",30,2,-77.72198338329326,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.6864227783617797}",20,0,-144.08876238218838,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.663340304161994}",20,0,-94.86259367649268,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.6410340288763168}",25,0,-104.2711840426115,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.6194778511107186}",35,0,-112.97905047204068,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.598646547187897}",25,0,-134.19978998271574,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.5785157416321226}",20,0,-45.830018952407656,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.5590618786465977}",35,21,-33.148900403956226,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.5402621945499513}",25,3,-15.010347206581333,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.5220946911396168}",20,6,-44.06729204463811,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.504538109950926}",35,0,-2.0900962021455283,"{0: 30, 1: 2, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.48757190738179607}",30,0,-90.81462470289314,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.4711762306539049}",20,0,16.61466581169331,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.4553318945822239}",20,3,-44.52796360628606,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.4400203591257267}",20,13,10.810192404495677,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.4252237076930044}",20,0,-40.304885123270076,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.41092462617740255}",20,14,-2.1609207829788257,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.3971063826971471}",20,8,-21.807252860532614,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.3837528080167537}",20,0,-75.60424955695021,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.37084827662680986}",25,3,-27.041356803946282,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.358377688459991}",30,16,-41.47535436620237,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.3463264512219157}",30,5,-86.65451061345063,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.3346804633161648}",30,18,11.83696296289985,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.32342609734348415}",25,6,17.004821709293125,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.3125501841558631}",20,8,-24.160632599040817,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.3020399974468294}",20,0,-61.07118780481002,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.2918832388599294}",30,11,10.786125359038628,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.28206802359796834}",30,0,15.626875647406369,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.27258286651617186}",25,13,-12.582076579830357,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.26341666868299474}",25,14,-5.5973555539468,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.2545587043928527}",25,3,16.814365770487015,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.24599860861557932}",30,21,5.144301196626716,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.23772636486792273}",25,12,-20.144993726371407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.2297322934928895}",20,13,10.552555313762308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.2220070403332218}",20,0,-13.48063923817778,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.21454156578575345}",30,18,4.100391813382888,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.20732713422383747}",20,15,9.87285126951599,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.20035530377546767}",20,16,5.188181396056938,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.1936179164451335}",30,0,-24.848085992338266,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.18710708856784883}",25,0,-31.696431717137866,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.18081520158418565}",20,13,14.447246878402861,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.17473489312551693}",25,10,2.386245677632904,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.168859048399038}",20,0,7.479517124889803,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.1631807918624857}",30,8,28.98795084390877,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.15769347917881305}",30,15,-25.319573663769702,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.15239068944140582}",20,6,15.200766612629977,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.1472662176607434}",25,11,22.941186131528767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.14231406750371212}",20,15,10.424563800184924,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.1375284442770749}",25,16,-7.014512714536069,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
