trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,14,-78.82368342257082,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9959839357429718}",20,0,-45.61615285739223,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9919678714859438}",20,4,-23.47236222425368,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9879518072289156}",35,0,-181.7654474626694,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9839357429718876}",25,0,-203.86720223020728,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9799196787148594}",25,0,-121.79628970853483,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9759036144578314}",30,0,-130.23867227893442,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9718875502008032}",20,0,-59.1938996046394,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9678714859437751}",20,0,-134.6276132192433,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.963855421686747}",30,0,-165.82020098058868,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9598393574297188}",30,11,-121.72149219465453,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9558232931726908}",20,0,-25.682532706106038,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9518072289156626}",20,0,-128.7210610699253,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9477911646586346}",20,0,-179.8457222803371,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9437751004016064}",20,0,-92.80570528705047,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9397590361445783}",30,0,-76.06851286208243,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9357429718875502}",20,0,-71.9099693363819,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9317269076305221}",20,0,-61.01216642003104,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.927710843373494}",20,0,-106.22323105209597,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9236947791164659}",25,0,-89.45414970615973,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9196787148594378}",30,0,-130.93896592903354,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9156626506024096}",20,0,-34.82971831252973,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9116465863453815}",20,0,-118.3925565831731,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9076305220883534}",20,0,-45.043664768029736,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9036144578313253}",25,0,-66.73760214338523,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8995983935742972}",20,7,-69.91201113272405,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.8955823293172691}",25,12,-104.88433524759544,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.891566265060241}",20,0,-108.35688670274854,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8875502008032129}",30,0,-148.60008257596274,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8835341365461847}",20,0,-15.002981819013474,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8795180722891566}",20,0,-80.47514888948612,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8755020080321285}",25,3,-79.71003988304071,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.8714859437751004}",20,0,-3.380435391394587,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8674698795180723}",20,0,-65.44785581571003,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8634538152610441}",25,0,-128.4501643807047,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8594377510040161}",20,0,-49.34923113168513,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8554216867469879}",20,0,-42.33984600072613,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.8514056224899599}",20,13,2.40108660108377,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8473895582329317}",35,9,-72.48403803459001,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.8433734939759037}",25,0,-76.78999300480605,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8393574297188755}",25,0,-66.57218176429684,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8353413654618473}",20,0,-177.7963858083956,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
43,False,"{'a': 0.5, 'e': 0.8313253012048193}",35,0,-137.31298944477533,"{0: 24, 1: 1, 2: 8, 3: 0, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.8273092369477911}",20,12,-57.922908880599884,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.8232931726907631}",20,2,-19.321667115651373,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.8192771084337349}",20,11,11.622717706833184,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
