trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.6193296131887,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999900509459859}",30,0,-115.76966644008478,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999602035859646}",20,0,-154.05205133003847,"{0: 5, 1: 5, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999104573259237}",25,0,-75.41411931674078,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9998408111755929}",20,0,-78.84830767472215,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9997512637480698}",30,0,-165.1852843457086,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9996418132592951}",20,0,-101.8382887305576,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9995124575273775}",20,0,-78.45679633536386,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9993631939717681}",20,0,-41.357770130900455,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9991940196122829}",35,0,-320.1803173577528,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.9990049310679744}",30,0,-180.28237332203722,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9987959245558496}",20,0,-40.27982922168201,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9985669958894355}",25,0,-240.1367436153811,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.99831814047719}",20,0,-103.4720452381255,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9980493533207578}",25,0,-152.55183371925017,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9977606290130709}",25,0,-60.47940633260124,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9974519617362905}",25,6,-85.9485445612599,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9971233452595917}",25,0,-91.80923009586735,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9967747729367878}",20,0,-151.2802928459222,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9964062377037939}",20,0,-217.07113057342502,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 3}",0
