trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.59079814141225,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.483577527275685,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.67585883681502,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,5,-38.553933918844756,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.85531682151061,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.55091831859696,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.23823280428475,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.41670198260931,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,17,-56.21231809830996,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.87162363186656,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.89706515545875,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.39201968021179,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.93859691975408,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.88399476258125,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.17723860854741,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.38911147928187,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.47492924656254,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.35427621672716,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.6028032483878,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.60332333186748,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,3,-132.17639016951742,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.98470222341679,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.35576502413325,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-225.57627482980473,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.28545047595898,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.29691444961118,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.3775645378524,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.27092844325955,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.40365476854926,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.9960894907497,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
